"Tipo_muestra","Orden","ruc","RAZON_SOCIAL","NOMBRE_COMERCIAL","CODIGO_ORGANIZACION_LEGAL","ORGANIZACION_LEGAL","CODIGO_CATESTAB","TIPESTAB","CODIGO_EMPRESA_TIPO","EMPRESA_TIPO","CODIGO_EMPRESA_ESTADO","EMPRESA_ESTADO","CODIGO_ESTADO_HABIDO","ESTADO_HABIDO","UBIGEO","NOMDEP","NOMPROV","NOMDIST","codigo de distrito","CIIU_V3","CIIU_V4","ANIO_CONSTITUCION","ANIO_APERTURA","ANIO_CIERRE","CODIGO_REG_PROPIEDAD","REG_PROPIEDAD","CODIGO_ACTIV_COMERCIO_EXTERIOR","ACTIV_COMERCIO_EXTERIOR","Estado","DESC_ESTADO","DESC_VIA_OTRO","DESC_CONDICION_DOMICILIO","CAPITAL","Region","CODODEI","ODEI","Cono","Descripcion_CIIU","COD_DIVISION","DESCRIP_DIVISION","ESTRATO_INNOVA","COD_SECTOR","SECTOR_CENEC","ID","veneta_mill","tot_vent","part_ing","prob","weight","eeee"
"2","1634","20564449980","RED SUR PLUS Y COMUNICACIONES E.I.R.L.","-","7","EMPRESA INDIVIDUAL DE RESP. LTDA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","080101","CUSCO","CUSCO","CUSCO","01","6420","6110","","1901","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","","HABIDO","CUSCO","08 Cusco","8","Cusco","","Actividades de telecomunicaciones alámbricas","61","Telecomunicaciones","5. Gran empresa- mayor a 2300 uit","13","Transportes y Comunicaciones","","15.0000","254687821824",",005889562889934",",03","29.85","29,85"
"2","1643","20568500823","EMPRESA COMUNAL DE SERVICIOS MULTIPLES POMATAREA DE RESPONSABILIDAD LIMITADA","-","23","COMUNIDAD CAMPESINA NATIVA","2","PRINCIPAL(MATRIZ)- UNICA","3","Personal Jurídica Privada sin Fines de Lucro","1","En Operación","1","Habido","120810","JUNIN","YAULI","YAULI","10","7421","7110","","1901","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","","HABIDO","YAULI","12 Junin","12","Huancayo","","Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica","71","Actividades de arquitectura e ingeniería; ensayos y análisis técnicos","5. Gran empresa- mayor a 2300 uit","16","Servicios","","15.0000","254687821824",",005889562889934",",03","29.8","29,80"
"2","1670","20601146046","TEXTILES ATE S.A.C.","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150137","LIMA","LIMA","SANTA ANITA","37","1711","1312","","2016","","99","No conocido","2","EXPORTADOR","0","ACTIVO","","HABIDO","SANTA ANITA - LOS FICUS","15 Provincia de Lima","15","Lima","3 Este","Tejedura de productos textiles","13","Fabricación de productos textiles","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","15.0000","254687821824",",005889562889934",",03","29","29,00"
"2","1671","20601200351","AGROPACKING EXPORT S.A.","-","26","SOCIEDAD ANONIMA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150131","LIMA","LIMA","SAN ISIDRO","31","1513","1030","","1901","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","SAN ISIDRO","15 Provincia de Lima","15","Lima","2 Centro","Elaboración y conservación de frutas, legumbres y hortalizas","10","Elaboración de productos alimenticios","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","15.0000","254687821824",",005889562889934",",03","29.87","29,87"
"2","1692","20602601111","MACE CONSULTANCY (PERU) LIMITED SUCURSAL DEL PERU","","29","SUCURSALES O AG. DE EMP. EXTRANJ.","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150131","LIMA","LIMA","SAN ISIDRO","31","7414","7020","","2017","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","","HABIDO","SAN ISIDRO","15 Provincia de Lima","15","Lima","2 Centro","Actividades de consultoría de gestión","70","Actividades de oficinas principales; actividades de consultoría de gestión","5. Gran empresa- mayor a 2300 uit","16","Servicios","","15.0000","254687821824",",005889562889934",",03","29.98","29,98"
"2","1703","20603228287","CONSORCIO APPLUS TEIGA","-","40","CONTRATOS COLABORACION EMPRESARIAL","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150140","LIMA","LIMA","SANTIAGO DE SURCO","40","7421","7110","","2018","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","SANTIAGO DE SURCO","15 Provincia de Lima","15","Lima","2 Centro","Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica","71","Actividades de arquitectura e ingeniería; ensayos y análisis técnicos","5. Gran empresa- mayor a 2300 uit","16","Servicios","","15.0000","254687821824",",005889562889934",",03","29.8","29,80"
"2","1712","20603658265","ENVASES PLASTICOS DEL NORTE S.A.C.","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","200104","PIURA","PIURA","CASTILLA","04","2520","2220","","1901","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","CASTILLA","20 Piura","20","Piura","","Fabricación de productos de plástico","22","Fabricación de productos de caucho y de plástico","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","15.0000","254687821824",",005889562889934",",03","30.05","30,05"
"2","1728","20604827087","FOSS PERU S.A.C.","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150101","LIMA","LIMA","LIMA","01","1920","1520","","2019","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","LIMA","15 Provincia de Lima","15","Lima","2 Centro","Fabricación de calzado","15","Fabricación de productos de cuero y productos conexos","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","15.0000","254687821824",",005889562889934",",08","13","13,00"
"2","1757","20100072590","ACTIVIDADES ELECTROMECANICAS INDUSTRIALE S S.R.L.","AEI INGENIEROS","28","SOC.COM.RESPONS. LTDA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150110","LIMA","LIMA","COMAS","10","3699","3312","1979","1979","","99","No conocido","1","IMPORTADOR","0","ACTIVO","","HABIDO","LA LIBERTAD","15 Provincia de Lima","15","Lima","1 Norte","Reparación de maquinaria","33","Reparación e instalación de maquinaria y equipo","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","14.7075","254687821824",",005774721968919",",03","29.14","29,14"
"2","1773","20306302621","ARELLANO INVESTIGACION DE MARKETING S.A.","-","26","SOCIEDAD ANONIMA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150122","LIMA","LIMA","MIRAFLORES","22","7414","7020","1996","1996","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","","HABIDO","MIRAFLORES","15 Provincia de Lima","15","Lima","2 Centro","Actividades de consultoría de gestión","70","Actividades de oficinas principales; actividades de consultoría de gestión","5. Gran empresa- mayor a 2300 uit","16","Servicios","","14.4355","254687821824",",005667922087014",",03","29.98","29,98"
"2","1775","20513461063","FASHION UTOPIA S.A.C.","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150110","LIMA","LIMA","COMAS","10","1810","1410","2006","2006","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","LA LIBERTAD","15 Provincia de Lima","15","Lima","1 Norte","Fabricación de prendas de vestir, excepto prendas de piel","14","Fabricación de prendas de vestir","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","14.4074","254687821824",",005656902678311",",03","30.03","30,03"
"2","1778","20516485524","BFX SAC","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150142","LIMA","LIMA","VILLA EL SALVADOR","42","1920","1520","","1901","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","VILLA EL SALVADOR","15 Provincia de Lima","15","Lima","4 Sur","Fabricación de calzado","15","Fabricación de productos de cuero y productos conexos","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","14.3737","254687821824",",005643641576171",",08","13","13,00"
"2","1791","20544798830","CB METAL S.A.","-","26","SOCIEDAD ANONIMA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150101","LIMA","LIMA","LIMA","01","2811","2511","","2011","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","LIMA","15 Provincia de Lima","15","Lima","2 Centro","Fabricación de productos metálicos para uso estructural","25","Fabricación de productos elaborados de metal, excepto maquinaria y equipo","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","14.1160","254687821824",",005542452912778",",03","29.92","29,92"
"2","1796","20101705839","NOVATRONIC S.A.C.","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150131","LIMA","LIMA","SAN ISIDRO","31","7220","6202","1988","1901","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","SAN ISIDRO","15 Provincia de Lima","15","Lima","2 Centro","Consultoría de informática y de gestión de instalaciones informáticas","62","Programación informática, consultoría de informática y actividades conexas","5. Gran empresa- mayor a 2300 uit","16","Servicios","","14.0754","254687821824",",005526513326913",",03","29.61","29,61"
"2","1834","20508368519","INDUSTRIAS HAWAI S.A.C.","-","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150132","LIMA","LIMA","SAN JUAN DE LURIGANCHO","32","2520","2220","2003","2004","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","SAN JUAN DE LURIGANCHO","15 Provincia de Lima","15","Lima","3 Este","Fabricación de productos de plástico","22","Fabricación de productos de caucho y de plástico","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","13.5005","254687821824",",005300815682858",",03","30.05","30,05"
"2","1918","20509045471","INTEL SEMICONDUCTORES DEL PERU S.A","-","26","SOCIEDAD ANONIMA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150131","LIMA","LIMA","SAN ISIDRO","31","6599","7490","2004","2004","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","","HABIDO","SAN ISIDRO","15 Provincia de Lima","15","Lima","2 Centro","Otras actividades profesionales, científicas y técnicas n.c.p.","74","Otras actividades profesionales, científicas y técnicas","5. Gran empresa- mayor a 2300 uit","16","Servicios","","12.1814","254687821824",",004782891832292",",03","29.36","29,36"
"2","1929","20100675537","INDUSTRIAS WILLY BUSCH S A","-","26","SOCIEDAD ANONIMA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150103","LIMA","LIMA","ATE","03","3430","2930","1986","1986","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","VITARTE","15 Provincia de Lima","15","Lima","3 Este","Fabricación de partes, piezas y accesorios para vehículos automotores","29","Fabricación de vehículos automotores, remolques y semirremolques","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","12.0823","254687821824",",004743963014334",",07","13.86","13,86"
"2","1941","20518095057","ZUZUNAGA  ASSERETO & ZEGARRA ABOGADOS S. CIVIL DE R.L.","-","8","SOCIEDAD CIVIL","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150122","LIMA","LIMA","MIRAFLORES","22","7411","6910","","2008","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","","HABIDO","MIRAFLORES","15 Provincia de Lima","15","Lima","2 Centro","Actividades jurídicas","69","Actividades jurídicas y de contabilidad","5. Gran empresa- mayor a 2300 uit","16","Servicios","","11.9166","254687821824",",004678916186094",",03","29.89","29,89"
"2","1943","20484054879","PROCESADORA DE GAS PARIÑAS S.A.C","PROCESADORA DE GAS PARIÑAS S.A","39","SOCIEDAD ANONIMA CERRADA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","200701","PIURA","TALARA","PARIÑAS","01","2320","1920","2003","2003","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","","HABIDO","TALARA","20 Piura","20","Piura","","Fabricación de productos de la refinación del petróleo","19","Fabricación de coque y productos de la refinación del petróleo","5. Gran empresa- mayor a 2300 uit","8","Hidrocarburos","","11.8523","254687821824",",004653649404645",",67","1.5","1,50"
"2","1974","20101227082","PLASTICOS RIO SANTA S.A.","-","26","SOCIEDAD ANONIMA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150112","LIMA","LIMA","INDEPENDENCIA","12","2520","2220","1979","1979","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","","HABIDO","INDEPENDENCIA","15 Provincia de Lima","15","Lima","1 Norte","Fabricación de productos de plástico","22","Fabricación de productos de caucho y de plástico","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","11.4852","254687821824",",004509532358497",",03","30.05","30,05"
"2","1975","20144955766","DISTRIBUIDOR EXCLUSIVO BRYANT S.A.","-","26","SOCIEDAD ANONIMA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150133","LIMA","LIMA","SAN JUAN DE MIRAFLORES","33","3190","2640","1993","1901","","99","No conocido","3","IMPORTADOR/EXPORTADOR","0","ACTIVO","","HABIDO","CIUDAD DE DIOS","15 Provincia de Lima","15","Lima","4 Sur","Fabricación de aparatos electrónicos de consumo","26","Fabricación de productos de informática, de electrónica y de óptica","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","11.4799","254687821824",",004507425241172",",28","3.64","3,64"
"2","2045","20100105943","COSMETICOS Y PERFUMERIA INTERNACIONAL SA","-","26","SOCIEDAD ANONIMA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","70101","CALLAO","CALLAO","CALLAO","1","2429","2023","1950","1901","","99","No conocido","0","SIN ACTIVIDAD","0","ACTIVO","","HABIDO","CALLAO","07 Callao","15","Lima","5 Provincia Constitucional del Callao","Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador","20","Fabricación de sustancias y productos químicos","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","10.8322","254687821824",",004253135062754",",03","29.71","29,71"
"2","2046","20510354291","MADERERA VILLASOL SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA","-","28","SOC.COM.RESPONS. LTDA","2","PRINCIPAL(MATRIZ)- UNICA","2","Personal Jurídica Privada con Fines de Lucro","1","En Operación","1","Habido","150117","LIMA","LIMA","LOS OLIVOS","17","2023","1623","2005","1901","","1","EMPRESA PRIVADA NACIONAL","2","EXPORTADOR","0","ACTIVO","","HABIDO","LAS PALMERAS","15 Provincia de Lima","15","Lima","1 Norte","Fabricación de recipientes de madera","16","Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables","5. Gran empresa- mayor a 2300 uit","11","Manufactura","","10.8300","254687821824",",004252266138792",",03","29.08","29,08"
